         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10671    0.017    0.000    0.334    0.000 huobi.py:125(<lambda>)
    29087    0.017    0.000    0.017    0.000 _base.py:382(__get_result)
     1391    0.016    0.000    0.096    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     1322    0.015    0.000    0.018    0.000 posixpath.py:52(normcase)
      948    0.014    0.000    0.025    0.000 __init__.py:148(_set_field_value)
     1314    0.014    0.000    0.108    0.000 __init__.py:322(getMessage)
     1084    0.014    0.000    0.014    0.000 {method 'utctimetuple' of 'datetime.datetime' objects}
    29089    0.013    0.000    0.013    0.000 collation.py:216(validate_collation_or_none)
     2575    0.013    0.000    2.404    0.001 bitmex.py:102(_handle_trade)
  4420/35    0.013    0.000    0.045    0.001 pyparsing.py:1347(_parseNoCache)
     8594    0.013    0.000    0.061    0.000 fields.py:44(get_next_value)
    80900    0.013    0.000    0.013    0.000 depth.py:193(<lambda>)
     1314    0.012    0.000    0.036    0.000 __init__.py:1400(findCaller)
    58292    0.012    0.000    0.012    0.000 depth.py:183(<lambda>)
      530    0.012    0.000    0.012    0.000 {method 'write' of '_ssl._SSLSocket' objects}
     1314    0.011    0.000    0.021    0.000 __init__.py:960(flush)
    32100    0.011    0.000    0.011    0.000 trades.py:104(get_unique_indexes)
     1314    0.011    0.000    0.362    0.000 __init__.py:1524(callHandlers)
     1443    0.011    0.000    0.025    0.000 bitfinex.py:107(__gen_trade_ticker)
      496    0.011    0.000    0.175    0.000 bitfinex.py:223(<listcomp>)
 1727/195    0.011    0.000    0.035    0.000 sre_compile.py:71(_compile)
    20287    0.010    0.000    0.010    0.000 sre_parse.py:233(__next)
    18237    0.010    0.000    0.016    0.000 fields.py:41(get_value)
     1311    0.010    0.000    0.516    0.000 __init__.py:1322(info)
      511    0.009    0.000    0.290    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     1109    0.009    0.000    0.024    0.000 {built-in method now}
     2575    0.009    0.000    0.156    0.000 bitmex.py:118(<listcomp>)
